Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:16.800000,VER,33,0 days 00:01:21.986000,1.0,1.0,,,,0 days 00:00:36.535000,0 days 00:00:20.724000,,0 days 00:33:56.247000,0 days 00:34:17.009000,192.0,187.0,250.0,258.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:32:54.677000,2021-05-23 13:02:55.440,1,1.0,False,,False,False
0 days 00:35:34.280000,VER,33,0 days 00:01:17.480000,2.0,1.0,,,0 days 00:00:20.615000,0 days 00:00:36.346000,0 days 00:00:20.519000,0 days 00:34:37.430000,0 days 00:35:13.776000,0 days 00:35:34.295000,193.0,191.0,250.0,259.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:34:16.800000,2021-05-23 13:04:17.563,1,1.0,False,,False,True
0 days 00:36:51.578000,VER,33,0 days 00:01:17.298000,3.0,1.0,,,0 days 00:00:20.460000,0 days 00:00:36.305000,0 days 00:00:20.533000,0 days 00:35:54.755000,0 days 00:36:31.060000,0 days 00:36:51.593000,199.0,191.0,251.0,258.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:35:34.280000,2021-05-23 13:05:35.043,1,1.0,False,,False,True
0 days 00:38:08.815000,VER,33,0 days 00:01:17.237000,4.0,1.0,,,0 days 00:00:20.609000,0 days 00:00:36.124000,0 days 00:00:20.504000,0 days 00:37:12.202000,0 days 00:37:48.326000,0 days 00:38:08.830000,,192.0,251.0,260.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:36:51.578000,2021-05-23 13:06:52.341,1,1.0,False,,False,True
0 days 00:39:25.707000,VER,33,0 days 00:01:16.892000,5.0,1.0,,,0 days 00:00:20.444000,0 days 00:00:36.046000,0 days 00:00:20.402000,0 days 00:38:29.274000,0 days 00:39:05.320000,0 days 00:39:25.722000,196.0,191.0,252.0,260.0,True,SOFT,10.0,False,Red Bull Racing,0 days 00:38:08.815000,2021-05-23 13:08:09.578,1,1.0,False,,False,True
0 days 00:40:42.854000,VER,33,0 days 00:01:17.147000,6.0,1.0,,,0 days 00:00:20.460000,0 days 00:00:36.213000,0 days 00:00:20.474000,0 days 00:39:46.182000,0 days 00:40:22.395000,0 days 00:40:42.869000,197.0,191.0,251.0,259.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:39:25.707000,2021-05-23 13:09:26.470,1,1.0,False,,False,True
0 days 00:41:59.576000,VER,33,0 days 00:01:16.722000,7.0,1.0,,,0 days 00:00:20.355000,0 days 00:00:35.944000,0 days 00:00:20.423000,0 days 00:41:03.224000,0 days 00:41:39.168000,0 days 00:41:59.591000,198.0,193.0,252.0,261.0,True,SOFT,12.0,False,Red Bull Racing,0 days 00:40:42.854000,2021-05-23 13:10:43.617,1,1.0,False,,False,True
0 days 00:43:16.696000,VER,33,0 days 00:01:17.120000,8.0,1.0,,,0 days 00:00:20.463000,0 days 00:00:36.182000,0 days 00:00:20.475000,0 days 00:42:20.054000,0 days 00:42:56.236000,0 days 00:43:16.711000,200.0,191.0,251.0,261.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:41:59.576000,2021-05-23 13:12:00.339,1,1.0,False,,False,True
0 days 00:44:33.606000,VER,33,0 days 00:01:16.910000,9.0,1.0,,,0 days 00:00:20.425000,0 days 00:00:36.001000,0 days 00:00:20.484000,0 days 00:43:37.136000,0 days 00:44:13.137000,0 days 00:44:33.621000,196.0,191.0,251.0,260.0,False,SOFT,14.0,False,Red Bull Racing,0 days 00:43:16.696000,2021-05-23 13:13:17.459,1,1.0,False,,False,True
0 days 00:45:50.550000,VER,33,0 days 00:01:16.944000,10.0,1.0,,,0 days 00:00:20.370000,0 days 00:00:36.125000,0 days 00:00:20.449000,0 days 00:44:53.991000,0 days 00:45:30.116000,0 days 00:45:50.565000,197.0,191.0,252.0,261.0,False,SOFT,15.0,False,Red Bull Racing,0 days 00:44:33.606000,2021-05-23 13:14:34.369,1,1.0,False,,False,True
0 days 00:47:06.815000,VER,33,0 days 00:01:16.265000,11.0,1.0,,,0 days 00:00:20.135000,0 days 00:00:35.898000,0 days 00:00:20.232000,0 days 00:46:10.700000,0 days 00:46:46.598000,0 days 00:47:06.830000,200.0,191.0,253.0,260.0,True,SOFT,16.0,False,Red Bull Racing,0 days 00:45:50.550000,2021-05-23 13:15:51.313,1,1.0,False,,False,True
0 days 00:48:23.154000,VER,33,0 days 00:01:16.339000,12.0,1.0,,,0 days 00:00:20.108000,0 days 00:00:35.895000,0 days 00:00:20.336000,0 days 00:47:26.938000,0 days 00:48:02.833000,0 days 00:48:23.169000,202.0,192.0,252.0,261.0,False,SOFT,17.0,False,Red Bull Racing,0 days 00:47:06.815000,2021-05-23 13:17:07.578,1,1.0,False,,False,True
0 days 00:49:39.108000,VER,33,0 days 00:01:15.954000,13.0,1.0,,,0 days 00:00:20.062000,0 days 00:00:35.654000,0 days 00:00:20.238000,0 days 00:48:43.231000,0 days 00:49:18.885000,0 days 00:49:39.123000,201.0,191.0,252.0,261.0,True,SOFT,18.0,False,Red Bull Racing,0 days 00:48:23.154000,2021-05-23 13:18:23.917,1,1.0,False,,False,True
