Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:24:04.661000,VER,33,,1.0,1.0,0 days 00:21:18.434000,,,0 days 00:01:24.332000,0 days 00:00:45.317000,,0 days 00:23:19.344000,0 days 00:24:04.943000,135.0,132.0,293.0,192.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:21:18.434000,2021-03-27 15:06:18.819,1,,False,,False,False
0 days 00:25:35.160000,VER,33,0 days 00:01:30.499000,2.0,1.0,,,0 days 00:00:28.807000,0 days 00:00:38.980000,0 days 00:00:22.712000,0 days 00:24:33.468000,0 days 00:25:12.448000,0 days 00:25:35.160000,244.0,269.0,290.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:24:04.661000,2021-03-27 15:09:05.046,1,,False,,False,True
0 days 00:27:25.520000,VER,33,0 days 00:01:50.360000,3.0,1.0,,0 days 00:27:23.844000,0 days 00:00:34.462000,0 days 00:00:43.825000,0 days 00:00:32.073000,0 days 00:26:09.622000,0 days 00:26:53.447000,0 days 00:27:25.520000,218.0,216.0,,215.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:25:35.160000,2021-03-27 15:10:35.545,1,,False,,False,False
0 days 00:44:22.361000,VER,33,,4.0,2.0,0 days 00:42:21.384000,,,0 days 00:00:54.163000,0 days 00:00:28.730000,,0 days 00:43:53.643000,0 days 00:44:22.373000,161.0,195.0,288.0,151.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:27:25.520000,2021-03-27 15:12:25.905,12,,False,,False,False
0 days 00:45:52.679000,VER,33,0 days 00:01:30.318000,5.0,2.0,,,0 days 00:00:28.964000,0 days 00:00:38.858000,0 days 00:00:22.496000,0 days 00:44:51.325000,0 days 00:45:30.183000,0 days 00:45:52.679000,245.0,270.0,287.0,308.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:44:22.361000,2021-03-27 15:29:22.746,1,,False,,False,True
0 days 00:47:48.354000,VER,33,0 days 00:01:55.675000,6.0,2.0,,0 days 00:47:46.372000,0 days 00:00:36.873000,0 days 00:00:48.615000,0 days 00:00:30.187000,0 days 00:46:29.552000,0 days 00:47:18.167000,0 days 00:47:48.354000,203.0,202.0,,215.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:45:52.679000,2021-03-27 15:30:53.064,1,,False,,False,False
0 days 00:54:02.907000,VER,33,,7.0,3.0,0 days 00:51:22.418000,,,0 days 00:01:16.592000,0 days 00:00:39.610000,,0 days 00:53:23.325000,0 days 00:54:02.929000,110.0,88.0,289.0,116.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:47:48.354000,2021-03-27 15:32:48.739,1,,False,,False,False
0 days 00:55:34.727000,VER,33,0 days 00:01:31.820000,8.0,3.0,,,0 days 00:00:28.496000,0 days 00:00:38.458000,0 days 00:00:24.866000,0 days 00:54:31.403000,0 days 00:55:09.861000,0 days 00:55:34.727000,244.0,269.0,136.0,311.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:54:02.907000,2021-03-27 15:39:03.292,1,,False,,False,True
0 days 00:57:30.777000,VER,33,0 days 00:01:56.050000,9.0,3.0,,0 days 00:57:28.945000,0 days 00:00:37.778000,0 days 00:00:46.035000,0 days 00:00:32.237000,0 days 00:56:12.505000,0 days 00:56:58.540000,0 days 00:57:30.777000,212.0,195.0,,232.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:34.727000,2021-03-27 15:40:35.112,1,,False,,False,False
0 days 01:06:19.593000,VER,33,,10.0,4.0,0 days 01:04:02.343000,,,0 days 00:01:03.203000,0 days 00:00:35.064000,,0 days 01:05:44.544000,0 days 01:06:19.609000,118.0,166.0,289.0,180.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:57:30.777000,2021-03-27 15:42:31.162,1,,False,,False,False
